                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3584,                 1.1991,                 1.6115,                0.87292,                0.83327,                0.89794,                0.52904,                 1.4685,                0.98344,                 1.8435,               0.006733,               0.006733,               0.006733
                     35,                 1.4046,                 1.2636,                 1.6708,                0.80185,                0.77927,                 0.8413,                0.51618,                 1.3939,                 1.1736,                 1.8164,               0.006634,               0.006634,               0.006634
                     36,                 1.3924,                 1.2373,                 1.6433,                0.82834,                0.81484,                0.88313,                0.52767,                 1.4212,                0.99082,                 1.8318,               0.006535,               0.006535,               0.006535
                     37,                 1.3774,                 1.2656,                 1.6288,                 0.8179,                0.85173,                0.88727,                0.53626,                 1.3448,                0.94727,                 1.7976,               0.006436,               0.006436,               0.006436
                     38,                 1.3426,                 1.1183,                  1.583,                0.83822,                  0.789,                0.87785,                0.51965,                 1.4262,                 1.1206,                 1.8197,               0.006337,               0.006337,               0.006337
                     39,                  1.337,                 1.1727,                 1.5594,                0.92526,                0.84262,                0.92118,                0.56064,                 1.3342,                0.94745,                 1.7383,               0.006238,               0.006238,               0.006238
                     40,                 1.2866,                 1.0937,                  1.543,                0.84215,                0.87321,                0.89705,                0.55385,                 1.3455,                0.90606,                 1.7431,               0.006139,               0.006139,               0.006139
                     41,                 1.3412,                 1.1699,                 1.5718,                0.89532,                0.78507,                0.87598,                0.53222,                 1.4096,                0.98506,                 1.8043,                0.00604,                0.00604,                0.00604
                     42,                 1.3141,                 1.0954,                 1.5391,                0.90819,                0.81645,                0.88635,                0.55675,                 1.3252,                0.88995,                 1.7417,               0.005941,               0.005941,               0.005941
                     43,                 1.2962,                 1.1214,                 1.5372,                 0.8895,                0.83534,                0.87931,                0.54047,                 1.3215,                 0.8735,                  1.754,               0.005842,               0.005842,               0.005842
