               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031724,            0.014147,            0.010539,             0.96311,             0.95453,             0.98609,             0.61354,            0.022729,           0.0057987,           0.0022797,             0.00769,             0.00769,             0.00769
                  37,            0.034156,            0.013709,           0.0091425,             0.85115,             0.95805,             0.94227,             0.61195,            0.021656,           0.0059687,           0.0021748,            0.007624,            0.007624,            0.007624
                  38,            0.038837,            0.014605,            0.011584,             0.86855,             0.95739,             0.96235,             0.57983,            0.022452,           0.0059958,           0.0016929,            0.007558,            0.007558,            0.007558
                  39,            0.034717,            0.013641,            0.010484,             0.90826,             0.96342,             0.95664,             0.64246,            0.020979,           0.0056984,           0.0017295,            0.007492,            0.007492,            0.007492
                  40,            0.030605,            0.014038,           0.0096607,              0.8735,             0.96898,             0.95609,             0.63884,            0.022222,           0.0057211,           0.0016178,            0.007426,            0.007426,            0.007426
                  41,            0.031781,            0.012751,           0.0070814,             0.86338,             0.98018,             0.95515,              0.6251,            0.022621,           0.0055316,           0.0018248,             0.00736,             0.00736,             0.00736
                  42,            0.032463,            0.012242,           0.0062123,             0.94056,             0.98156,             0.97376,             0.66287,            0.022182,           0.0054889,           0.0018079,            0.007294,            0.007294,            0.007294
                  43,            0.032611,            0.013241,           0.0060679,             0.95403,             0.97708,             0.97717,             0.62003,            0.020561,           0.0056736,           0.0017549,            0.007228,            0.007228,            0.007228
                  44,            0.031204,            0.013005,           0.0090054,              0.9095,             0.91281,             0.95708,             0.60325,            0.019715,           0.0063726,           0.0034313,            0.007162,            0.007162,            0.007162
                  45,            0.034774,            0.013554,           0.0067276,             0.93037,             0.93439,             0.97164,             0.61603,            0.019209,           0.0063074,           0.0030912,            0.007096,            0.007096,            0.007096
                  46,            0.032815,            0.012706,           0.0067651,             0.95443,             0.93635,             0.98036,             0.67708,            0.017288,           0.0061619,           0.0020191,             0.00703,             0.00703,             0.00703
                  47,            0.028751,            0.011948,           0.0076771,              0.9353,             0.98377,             0.98797,              0.6628,            0.019941,           0.0057322,              0.0014,            0.006964,            0.006964,            0.006964
                  48,            0.033727,            0.012817,           0.0068353,             0.92311,             0.99047,             0.98678,             0.65304,            0.021171,           0.0054469,           0.0012261,            0.006898,            0.006898,            0.006898
                  49,            0.032157,            0.012452,           0.0059775,             0.95123,             0.97302,                0.98,             0.67476,            0.020005,           0.0054091,           0.0013327,            0.006832,            0.006832,            0.006832
                  50,            0.035852,            0.013215,           0.0073247,                   1,             0.94755,             0.98239,             0.65373,            0.018858,           0.0053202,           0.0014262,            0.006766,            0.006766,            0.006766
                  51,            0.031943,            0.013716,           0.0062969,             0.98988,             0.93901,             0.98537,             0.63742,            0.020724,           0.0056269,           0.0015027,              0.0067,              0.0067,              0.0067
                  52,            0.032748,            0.012886,            0.010858,             0.99443,             0.95719,             0.99096,             0.68508,            0.016521,            0.005447,           0.0014812,            0.006634,            0.006634,            0.006634
                  53,            0.028676,            0.012224,           0.0049852,             0.99926,             0.97155,             0.99256,             0.69371,            0.015322,           0.0052752,           0.0015416,            0.006568,            0.006568,            0.006568
                  54,            0.031321,            0.012103,           0.0049426,             0.97767,              0.9806,             0.99051,              0.7173,            0.017867,           0.0052425,           0.0014023,            0.006502,            0.006502,            0.006502
                  55,            0.025178,            0.011237,           0.0037434,             0.93706,             0.95867,             0.98809,             0.68492,            0.019556,           0.0052844,           0.0012528,            0.006436,            0.006436,            0.006436
                  56,            0.027671,             0.01208,           0.0050333,             0.96008,             0.98752,             0.99086,             0.73172,            0.016824,           0.0050124,           0.0012305,             0.00637,             0.00637,             0.00637
                  57,             0.03018,            0.011798,           0.0033947,             0.87623,             0.99295,             0.96513,             0.68004,            0.017817,           0.0048415,           0.0012411,            0.006304,            0.006304,            0.006304
                  58,            0.026639,            0.011954,           0.0036801,             0.98114,             0.96542,             0.99319,             0.73964,             0.01498,           0.0047464,           0.0013593,            0.006238,            0.006238,            0.006238
                  59,            0.028386,            0.012481,           0.0075541,             0.98678,             0.96655,             0.99174,             0.72556,            0.014741,           0.0048227,           0.0013833,            0.006172,            0.006172,            0.006172
                  60,            0.029978,            0.012668,           0.0077548,             0.99379,             0.99373,             0.99455,             0.72669,             0.01773,            0.004933,           0.0013624,            0.006106,            0.006106,            0.006106
                  61,             0.03111,            0.013321,           0.0048998,             0.96839,             0.99978,             0.99342,              0.7372,            0.019677,            0.005087,           0.0013968,             0.00604,             0.00604,             0.00604
                  62,            0.029697,            0.012012,           0.0049198,             0.97472,             0.99453,              0.9948,             0.75294,            0.015978,           0.0050011,           0.0013485,            0.005974,            0.005974,            0.005974
                  63,            0.027073,            0.011809,           0.0068209,              0.9609,              0.9963,             0.99348,             0.72898,            0.016461,           0.0050455,           0.0014345,            0.005908,            0.005908,            0.005908
                  64,            0.030802,            0.012083,           0.0063007,             0.95094,              0.9984,             0.98798,             0.71403,            0.018596,           0.0050261,           0.0012845,            0.005842,            0.005842,            0.005842
                  65,            0.028188,            0.012036,           0.0049188,             0.90016,             0.96154,             0.94211,             0.71204,             0.01586,           0.0051222,           0.0012592,            0.005776,            0.005776,            0.005776
                  66,            0.030511,            0.012008,           0.0060747,             0.96251,             0.98386,             0.99342,             0.75342,            0.015634,           0.0050748,           0.0012764,             0.00571,             0.00571,             0.00571
                  67,            0.027183,            0.010307,           0.0042469,             0.98913,             0.97662,             0.99322,             0.77354,            0.015295,           0.0048306,           0.0013016,            0.005644,            0.005644,            0.005644
